,breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category,description_length,temperament_length,text_combined
0,affenpinscher,affen apish look described many way called monkey dog ape terrier french say diablotin moustachu mustached little devil star war fan argue whether look like wookies ewoks standing less foot tall sturdy terrier like dog approach life great confidence breed train professional dog handler tell u like human befriend dense harsh coat described neat shaggy come several color gait light confident willful domineering mostly affens loyal affectionate always entertaining affen people say love owned little monkey dog affenpinscher loyal curious famously amusing almost human toy dog fearless proportion size great comedian affenpinscher apparent seriousness purpose make antic amusing,confident famously funny fearless,148,22.86,29.21,3.17514659,4.535923700000001,12.0,15.0,toy_group,0.6,2-3_times_a_week_brushing,0.6,seasonal,0.6,regular_exercise,0.8,easy_training,1.0,outgoing,159,4,affen apish look described many way called monkey dog ape terrier french say diablotin moustachu mustached little devil star war fan argue whether look like wookies ewoks standing less foot tall sturdy terrier like dog approach life great confidence breed train professional dog handler tell u like human befriend dense harsh coat described neat shaggy come several color gait light confident willful domineering mostly affens loyal affectionate always entertaining affen people say love owned little monkey dog affenpinscher loyal curious famously amusing almost human toy dog fearless proportion size great comedian affenpinscher apparent seriousness purpose make antic amusing confident famously funny fearless toy_group affenpinscher 2-3_times_a_week_brushing seasonal regular_exercise easy_training outgoing
1,afghan_hound,afghan hound ancient breed whole appearance one dignity aloofness eye gazing distance memory age past intelligent independent mind whole appearance one dignity style devoted loyal charming lively personality afghan hound athlete capable immense speed requires large fenced yard exercise daily since ancient time afghan hound famous elegant beauty thick silky flowing coat breed crowning glory show served protection harsh climate mountainous region afghan originally earned keep beneath afghan glamorous exterior powerful agile hound standing high inch shoulder built long day hunt huge paw pad acted shock absorber homeland punishing terrain afghan hound special breed special people breed expert writes breed would dog owner dog owner combination right animal equal afghan hound pet afghan hound aloof dignified aristocrat sublime beauty despite regal appearance known profound loyalty sensitive nature absolute love call,dignified profoundly loyal aristocratic,113,63.5,68.58,22.6796185,27.2155422,12.0,15.0,hound_group,0.8,daily_brushing,0.2,infrequent,0.8,energetic,0.2,may_be_stubborn,0.2,aloof/wary,235,4,afghan hound ancient breed whole appearance one dignity aloofness eye gazing distance memory age past intelligent independent mind whole appearance one dignity style devoted loyal charming lively personality afghan hound athlete capable immense speed requires large fenced yard exercise daily since ancient time afghan hound famous elegant beauty thick silky flowing coat breed crowning glory show served protection harsh climate mountainous region afghan originally earned keep beneath afghan glamorous exterior powerful agile hound standing high inch shoulder built long day hunt huge paw pad acted shock absorber homeland punishing terrain afghan hound special breed special people breed expert writes breed would dog owner dog owner combination right animal equal afghan hound pet afghan hound aloof dignified aristocrat sublime beauty despite regal appearance known profound loyalty sensitive nature absolute love call dignified profoundly loyal aristocratic hound_group afghan_hound daily_brushing infrequent energetic may_be_stubborn aloof/wary
2,airedale_terrier,airedale terrier largest terrier breed male stand inch shoulder female little less dense wiry coat tan black marking long muscular leg give airedale regal lift bearing long head sporty beard mustache dark eye neatly folded ear conveys keen intelligence airedale picture alert willing terrier bigger like smaller cousin terrier family bold determined stubborn airedale docile patient kid back protecting hearth home thanks famous attitude airedale excel kind sport family activity size strength unflagging spirit earned airedale terrier nickname king terrier airedale stand among world versatile dog breed distinguished hunter athlete companion,friendly clever courageous,60,58.42,58.42,22.6796185,31.751465900000003,11.0,14.0,terrier_group,0.6,2-3_times_a_week_brushing,0.4,occasional,0.6,regular_exercise,1.0,eager_to_please,0.8,friendly,156,3,airedale terrier largest terrier breed male stand inch shoulder female little less dense wiry coat tan black marking long muscular leg give airedale regal lift bearing long head sporty beard mustache dark eye neatly folded ear conveys keen intelligence airedale picture alert willing terrier bigger like smaller cousin terrier family bold determined stubborn airedale docile patient kid back protecting hearth home thanks famous attitude airedale excel kind sport family activity size strength unflagging spirit earned airedale terrier nickname king terrier airedale stand among world versatile dog breed distinguished hunter athlete companion friendly clever courageous terrier_group airedale_terrier 2-3_times_a_week_brushing occasional regular_exercise eager_to_please friendly
3,akita,akitas burly heavy boned spitz type dog imposing stature standing inch shoulder akitas dense coat come several color including white head broad massive balanced rear full curled tail erect ear dark shining eye contribute expression alertness hallmark breed akitas quiet fastidious dog wary stranger often intolerant animal akitas gladly share silly affectionate side family friend thrive human companionship large independent thinking akita hardwired protecting love must well socialized birth people dog akitas muscular double coated dog ancient japanese lineage famous dignity courage loyalty native land venerated family protector symbol good health happiness long life,courageous dignified profoundly loyal,47,60.96,71.12,31.751465900000003,58.9670081,10.0,13.0,working_group,0.8,daily_brushing,0.6,seasonal,0.8,energetic,1.0,eager_to_please,0.6,alert/responsive,152,4,akitas burly heavy boned spitz type dog imposing stature standing inch shoulder akitas dense coat come several color including white head broad massive balanced rear full curled tail erect ear dark shining eye contribute expression alertness hallmark breed akitas quiet fastidious dog wary stranger often intolerant animal akitas gladly share silly affectionate side family friend thrive human companionship large independent thinking akita hardwired protecting love must well socialized birth people dog akitas muscular double coated dog ancient japanese lineage famous dignity courage loyalty native land venerated family protector symbol good health happiness long life courageous dignified profoundly loyal working_group akita daily_brushing seasonal energetic eager_to_please alert/responsive
4,alaskan_malamute,alaskan malamute stand inch shoulder weighs pound everything mals suggests origin arctic sled dog heavy bone deep chest powerful shoulder dense weatherproof coat scream work hard living almond shaped brown eye affectionate sparkle suggesting mals enjoy snuggling human workday done mals pack animal family pack leader must mal respect wind owning instead way around firm loving training begin early puppyhood said well behaved mal joy playful gentle friendly great kid immensely strong heavy duty worker spitz type alaskan malamute affectionate loyal playful dignified dog recognizable well furred plumed tail carried back erect ear substantial bone,affectionate loyal playful,58,58.42,63.5,34.01942775,38.55535145,10.0,14.0,working_group,0.6,2-3_times_a_week_brushing,0.6,seasonal,0.8,energetic,0.4,independent,0.8,friendly,161,3,alaskan malamute stand inch shoulder weighs pound everything mals suggests origin arctic sled dog heavy bone deep chest powerful shoulder dense weatherproof coat scream work hard living almond shaped brown eye affectionate sparkle suggesting mals enjoy snuggling human workday done mals pack animal family pack leader must mal respect wind owning instead way around firm loving training begin early puppyhood said well behaved mal joy playful gentle friendly great kid immensely strong heavy duty worker spitz type alaskan malamute affectionate loyal playful dignified dog recognizable well furred plumed tail carried back erect ear substantial bone affectionate loyal playful working_group alaskan_malamute 2-3_times_a_week_brushing seasonal energetic independent friendly
5,american_bulldog,american bulldog descendant english bulldog believed bulldog america early th century came united state immigrant brought working bulldog small farmer rancher used around working dog many task including farm guardian stock dog catch dog breed largely survived particularly southern state due ability bring catch feral pig breed know american bulldog originally known many different name name american bulldog became standard different part south known white english southern bulldog commonly bulldog breed called bulldog certain look real bulldog work breed contact informationkatrina huffmasterphone american bulldog well balanced athletic dog demonstrate great strength endurance agility friendly attitude historically bred utility dog used working farm,loyal self confident,,50.8,63.5,27.2155422,45.359237,10.0,12.0,foundation_stock_service,0.2,occasional_bath/brush,0.6,seasonal,0.8,energetic,0.6,agreeable,0.6,alert/responsive,180,2,american bulldog descendant english bulldog believed bulldog america early th century came united state immigrant brought working bulldog small farmer rancher used around working dog many task including farm guardian stock dog catch dog breed largely survived particularly southern state due ability bring catch feral pig breed know american bulldog originally known many different name name american bulldog became standard different part south known white english southern bulldog commonly bulldog breed called bulldog certain look real bulldog work breed contact informationkatrina huffmasterphone american bulldog well balanced athletic dog demonstrate great strength endurance agility friendly attitude historically bred utility dog used working farm loyal self confident foundation_stock_service american_bulldog occasional_bath/brush seasonal energetic agreeable alert/responsive
6,american_english_coonhound,standing high inch shoulder american english coonhound deep chested sweet faced athlete beloved sportsman speed endurance stretched tightly across athletic frame medium length coat various pattern ticking head broad domed skull soft low hung ear dark brown eye glow warmth kindness american english coonhound mellow duty tenacious stubborn pursuit ring tailed prey work drive energy patience take train thing coon hunting loud ringing bark make breed bad fit house pet novice owner passionate fan american english coonhound feel without sporting outlet breed houndy virtue simply wasting good dog sleek racy lean muscular hound work dusk dawn pursuit wily raccoon sight american english coonhound tearing moonlit wood sinew determination bawling lusty night music coon hunter heaven,sweet mellow sociable,175,58.42,66.04,20.41165665,29.48350405,11.0,12.0,hound_group,0.2,occasional_bath/brush,0.4,occasional,0.8,energetic,0.6,agreeable,0.6,alert/responsive,180,3,standing high inch shoulder american english coonhound deep chested sweet faced athlete beloved sportsman speed endurance stretched tightly across athletic frame medium length coat various pattern ticking head broad domed skull soft low hung ear dark brown eye glow warmth kindness american english coonhound mellow duty tenacious stubborn pursuit ring tailed prey work drive energy patience take train thing coon hunting loud ringing bark make breed bad fit house pet novice owner passionate fan american english coonhound feel without sporting outlet breed houndy virtue simply wasting good dog sleek racy lean muscular hound work dusk dawn pursuit wily raccoon sight american english coonhound tearing moonlit wood sinew determination bawling lusty night music coon hunter heaven sweet mellow sociable hound_group american_english_coonhound occasional_bath/brush occasional energetic agreeable alert/responsive
7,american_eskimo_dog,american eskimo dog come three size standard miniature toy standing tall inch shoulder short inch distinctive trait include dense sparkling white coat lion like ruff around chest shoulder smiling face black nose lip eye rim convey keen intelligent expression plumed tail carried back eskies marking delicious color name biscuit cream move bold agile gait eskies social animal develop problem behavior neglected undertrained insist part family life among trainable breed clever kid friendly eskie practically invented phrase eager please american eskimo dog combine striking good look quick clever mind total brain beauty package neither shy aggressive eskies always alert friendly though bit conservative making new friend,playful perky smart,122,22.86,48.26,2.72155422,15.875732950000002,13.0,15.0,non-sporting_group,0.4,weekly_brushing,0.6,seasonal,0.8,energetic,1.0,eager_to_please,1.0,outgoing,157,3,american eskimo dog come three size standard miniature toy standing tall inch shoulder short inch distinctive trait include dense sparkling white coat lion like ruff around chest shoulder smiling face black nose lip eye rim convey keen intelligent expression plumed tail carried back eskies marking delicious color name biscuit cream move bold agile gait eskies social animal develop problem behavior neglected undertrained insist part family life among trainable breed clever kid friendly eskie practically invented phrase eager please american eskimo dog combine striking good look quick clever mind total brain beauty package neither shy aggressive eskies always alert friendly though bit conservative making new friend playful perky smart non-sporting_group american_eskimo_dog weekly_brushing seasonal energetic eager_to_please outgoing
8,american_foxhound,american foxhound sleek rangy hunter known speed endurance work ethic tell american foxhound apart british cousin english foxhound length leg american leg longer finely boned american slightly arched loin back end american foxhound large soft eye expression described gentle pleading far good foxhound come special consideration need lot exercise get depressed destructive foxhound single minded prey drive must managed loud bawling melodious hound lover nuisance neighbor training housebreaking independent soul steep challenge novice owner american foxhound good natured low maintenance hound get well kid dog even cat come special consideration prospective owner closely associated revolutionary hero rolling estate old virginia,independent easy going sweet tempered,186,53.34,63.5,27.2155422,31.751465900000003,11.0,13.0,hound_group,0.2,occasional_bath/brush,0.6,seasonal,0.8,energetic,0.4,independent,0.8,friendly,158,3,american foxhound sleek rangy hunter known speed endurance work ethic tell american foxhound apart british cousin english foxhound length leg american leg longer finely boned american slightly arched loin back end american foxhound large soft eye expression described gentle pleading far good foxhound come special consideration need lot exercise get depressed destructive foxhound single minded prey drive must managed loud bawling melodious hound lover nuisance neighbor training housebreaking independent soul steep challenge novice owner american foxhound good natured low maintenance hound get well kid dog even cat come special consideration prospective owner closely associated revolutionary hero rolling estate old virginia independent easy going sweet tempered hound_group american_foxhound occasional_bath/brush seasonal energetic independent friendly
9,american_hairless_terrier,american hairless terrier stand inch shoulder come coated hairless variety hairless variety might eyebrow whisker coated short shiny coat skin hairless smooth warm touch broad wedge shaped head hallmark variety erect v shaped ear frame round expressive eye gleam curiosity american hairless move jaunty pep step announces real terrier attitude hairless variety hypoallergenic dog get hairlessness though present challenge sunburn concern cold weather requires special precaution breed protective human make alert watchdog american hairless terrier louisiana native smart inquisitive playful dog come hairless coated variety fine choice allergy sufferer want dog true terrier grit courage,energetic alert curious,136,30.48,40.64,5.4431084400000005,7.25747792,14.0,16.0,terrier_group,0.4,weekly_brushing,0.6,seasonal,0.6,regular_exercise,0.6,agreeable,0.6,friendly,162,3,american hairless terrier stand inch shoulder come coated hairless variety hairless variety might eyebrow whisker coated short shiny coat skin hairless smooth warm touch broad wedge shaped head hallmark variety erect v shaped ear frame round expressive eye gleam curiosity american hairless move jaunty pep step announces real terrier attitude hairless variety hypoallergenic dog get hairlessness though present challenge sunburn concern cold weather requires special precaution breed protective human make alert watchdog american hairless terrier louisiana native smart inquisitive playful dog come hairless coated variety fine choice allergy sufferer want dog true terrier grit courage energetic alert curious terrier_group american_hairless_terrier weekly_brushing seasonal regular_exercise agreeable friendly
